model_name,hidden_dims,dropout,lr,weight_decay,batch_size,n_epochs,rmse,mae,r2
safety_lb_v1_deeper,"(128, 64, 32)",0.2,0.001,0.0001,32,300,10.543941649372453,8.303669929504395,0.543354332447052
safety_lb_v1_e400,"(64, 32)",0.2,0.001,0.0001,32,400,10.629118715719171,8.275167465209961,0.5359467267990112
safety_lb_v1_small,"(32, 16)",0.2,0.001,0.0001,32,300,10.635818897279261,8.480035781860352,0.5353614687919617
safety_lb_v1_low_dropout,"(64, 32)",0.1,0.001,0.0001,32,300,10.63694397025608,8.247900009155273,0.535263180732727
safety_lb_v1_wide,"(128, 64)",0.2,0.001,0.0001,32,300,10.641648118718134,8.383322715759277,0.5348520278930664
safety_lb_v1_e300,"(64, 32)",0.2,0.001,0.0001,32,300,10.661570722505953,8.3090238571167,0.5331087708473206
safety_lb_v1_higher_wd,"(64, 32)",0.2,0.001,0.0005,32,300,10.661720996945062,8.30829906463623,0.5330955982208252
safety_lb_v1_e200,"(64, 32)",0.2,0.001,0.0001,32,200,10.70788557449894,8.615804672241211,0.5290434956550598
safety_lb_v1_wide_low_dropout,"(128, 64)",0.1,0.001,0.0001,32,300,10.708494034289876,8.33977222442627,0.5289899706840515
safety_lb_v1_narrow_deep,"(64, 32, 16)",0.2,0.001,0.0001,32,300,10.794362285059423,8.629563331604004,0.5214059352874756
