feature_set_name,uses_current_city_crime_like_signal,runs,best_test_rmse,median_test_rmse,mean_test_rmse,best_test_r2
all_features,1,532,8.169564496387302,9.943610224749328,9.838091407182743,0.7258608145844189
all_without_current_crime,0,532,8.236800414613171,10.261318439649404,10.036838840760673,0.7213298881207977
rf_top_35,1,532,8.246914408258581,10.22862810330636,10.183589968469665,0.7206451081087684
rf_top_20,1,532,8.317346351035011,10.11306223046098,9.980171322833423,0.7158531277076039
rf_top_30,1,532,8.361862226529427,10.7729613998259,10.52425975567644,0.7128033817438448
rf_top_25,1,532,8.401763588035985,10.4237486310127,10.277192316745346,0.7100559369186996
rf_top_15,1,532,8.445178528884636,9.791454638612574,9.790357331905728,0.707051703977515
rf_top_10,1,532,8.73417737440492,10.026451286403686,10.045142800424207,0.6866589306779166
geo_knn,0,532,9.227747561525597,10.826925606011224,10.775424567927079,0.6502443676424428
geo_knn_density,0,532,9.53675354871921,11.8701679816513,11.672778420874552,0.62642790691735
geo_macro,0,532,10.44544671716759,11.862258058435174,11.727023010310743,0.5518459324240312
geo_demo,0,532,10.87007394548252,12.393960334835583,12.26189808256374,0.5146686970706972
geo_only,0,532,10.931329123642636,13.300827173971816,13.058003670765704,0.5091833948820115
geo_density,0,532,11.754055907505013,13.775018732725034,13.727233629671163,0.4325222859424008
