feature,importance
crimeindex_2023,0.43912882411318277
wavg_crime_k5,0.12052740402448373
wavg_safety_k5,0.09802588310361317
safetyindex_2020,0.03206377486161346
crimeindex_2020,0.024021205673816444
log1p_sum_pop_50km,0.02097574809523072
log1p_sum_pop_100km,0.01877322017280134
log1p_pop_of_nearest_large_city,0.01736266403437152
crime_nearest_labeled_city,0.013810911196150327
safety_nearest_labeled_city,0.013614606793751746
lon,0.013202725315629564
avg_safety_same_country_k5,0.012642726589311634
log1p_dist_nearest_labeled_city,0.0112019851220776
dist_nearest_labeled_city,0.01108219482159286
avg_crime_same_country_k5,0.010726843606449626
avg_crime_k10,0.010292630382533174
lat,0.010177692401695354
log1p_num_cities_50km,0.009260478596274817
avg_safety_k10,0.009207488633765892
log1p_dist_to_nearest_large_city,0.007739748390394528
log1p_num_cities_100km,0.007454330790611726
dist_to_nearest_large_city,0.007363219587296829
log1p_pop_gravity_100km,0.007360977146023547
log1p_pop_gravity_50km,0.006188509593261272
avg_crime_k5,0.006053140735205984
avg_safety_k5,0.005983435383068505
unemployment,0.004672560966662555
density_per_km2,0.004564530441828717
age_15_64,0.0043724077463484405
log1p_num_labeled_within_250km,0.004368690285083064
tourists,0.00376370398901321
homicide_rate,0.0037411377465614267
gdp,0.0033385989129163774
urban_population_growth,0.0032431860111603057
log1p_num_labeled_within_50km,0.00309655395495107
gdp_per_capita,0.003092977690711804
log1p_num_same_country_within_250km,0.0030496154236375585
age_0_14,0.0029125668483723547
population,0.002551125030295609
life_expectancy_female,0.0020988609877950707
log1p_num_labeled_within_100km,0.0017348404317380883
age_65_plus,0.0015534442551274434
life_expectancy_male,0.0014352604287063539
infant_mortality,0.001284437182117661
same_country_as_nearest_labeled,0.0008831325027646162
