country,crime_index_2020,safety_index_2020,country_norm
Venezuela,84.49,15.51,venezuela
Papua New Guinea,81.93,18.07,papua new guinea
South Africa,77.49,22.51,south africa
Afghanistan,76.23,23.77,afghanistan
Honduras,76.11,23.89,honduras
Trinidad And Tobago,73.19,26.81,trinidad and tobago
Brazil,68.88,31.12,brazil
Peru,68.15,31.85,peru
El Salvador,67.96,32.04,el salvador
Guyana,67.66,32.34,guyana
Namibia,67.21,32.79,namibia
Syria,66.46,33.54,syria
Jamaica,66.04,33.96,jamaica
Puerto Rico,65.63,34.37,puerto rico
Angola,64.97,35.03,angola
Bangladesh,63.94,36.06,bangladesh
Nigeria,63.77,36.23,nigeria
Bahamas,62.86,37.14,bahamas
Libya,62.19,37.81,libya
Kazakhstan,62.02,37.98,kazakhstan
Argentina,61.77,38.23,argentina
Kenya,61.66,38.34,kenya
Dominican Republic,61.16,38.84,dominican republic
Uganda,59.0,41.0,uganda
Tanzania,58.95,41.05,tanzania
Fiji,58.92,41.08,fiji
Malaysia,58.84,41.16,malaysia
Somalia,58.5,41.5,somalia
Mongolia,57.97,42.03,mongolia
Guatemala,57.83,42.17,guatemala
Zimbabwe,57.47,42.53,zimbabwe
Costa Rica,56.33,43.67,costa rica
Colombia,54.79,45.21,colombia
Mexico,53.97,46.03,mexico
Uruguay,53.81,46.19,uruguay
Botswana,53.49,46.51,botswana
Maldives,53.21,46.79,maldives
Bolivia,52.93,47.07,bolivia
Ecuador,50.9,49.1,ecuador
Cambodia,50.66,49.34,cambodia
Algeria,49.81,50.19,algeria
Paraguay,49.6,50.4,paraguay
Iran,49.25,50.75,iran
Ethiopia,49.21,50.79,ethiopia
Ghana,48.97,51.03,ghana
Ukraine,48.85,51.15,ukraine
Morocco,48.69,51.31,morocco
Iraq,47.78,52.22,iraq
Mauritius,47.33,52.67,mauritius
United States,47.2,52.8,united states
Panama,47.19,52.81,panama
Sweden,47.07,52.93,sweden
Egypt,46.92,53.08,egypt
France,46.79,53.21,france
Myanmar,45.86,54.14,myanmar
Indonesia,45.84,54.16,indonesia
Ireland,45.43,54.57,ireland
Vietnam,45.35,54.65,vietnam
Chile,45.23,54.77,chile
Moldova,44.98,55.02,moldova
Nicaragua,44.44,55.56,nicaragua
Italy,44.26,55.74,italy
Pakistan,44.08,55.92,pakistan
Belgium,43.98,56.02,belgium
United Kingdom,43.71,56.29,united kingdom
Palestine,43.59,56.41,palestine
Lebanon,43.36,56.64,lebanon
India,43.32,56.68,india
Bosnia And Herzegovina,43.03,56.97,bosnia and herzegovina
Philippines,42.16,57.84,philippines
Tunisia,41.88,58.12,tunisia
Australia,41.36,58.64,australia
Montenegro,41.18,58.82,montenegro
Russia,41.12,58.88,russia
New Zealand,40.93,59.07,new zealand
Jordan,40.83,59.17,jordan
Thailand,40.48,59.52,thailand
Greece,40.32,59.68,greece
Sri Lanka,40.22,59.78,sri lanka
Canada,39.67,60.33,canada
Albania,39.52,60.48,albania
Turkey,39.49,60.51,turkey
Malta,39.04,60.96,malta
North Macedonia,38.67,61.33,north macedonia
Bulgaria,38.5,61.5,bulgaria
Serbia,37.41,62.59,serbia
Latvia,36.95,63.05,latvia
Norway,35.43,64.57,norway
Hungary,35.08,64.92,hungary
Germany,34.81,65.19,germany
Kuwait,34.75,65.25,kuwait
Nepal,34.56,65.44,nepal
Luxembourg,33.39,66.61,luxembourg
Lithuania,33.06,66.94,lithuania
Kosovo (Disputed Territory),32.91,67.09,kosovo (disputed territory)
Spain,31.96,68.04,spain
China,31.83,68.17,china
Azerbaijan,31.61,68.39,azerbaijan
Singapore,30.57,69.43,singapore
Cyprus,30.01,69.99,cyprus
Portugal,29.63,70.37,portugal
Israel,29.6,70.4,israel
Bahrain,29.29,70.71,bahrain
Slovakia,29.22,70.78,slovakia
Poland,28.5,71.5,poland
South Korea,28.02,71.98,south korea
Brunei,27.68,72.32,brunei
Romania,27.64,72.36,romania
Netherlands,27.62,72.38,netherlands
Cuba,27.45,72.55,cuba
Saudi Arabia,26.18,73.82,saudi arabia
Czech Republic,25.52,74.48,czech republic
Denmark,25.1,74.9,denmark
Belarus,24.99,75.01,belarus
Croatia,24.71,75.29,croatia
Austria,23.73,76.27,austria
Iceland,23.36,76.64,iceland
Finland,23.32,76.68,finland
Estonia,23.14,76.86,estonia
Armenia,21.6,78.4,armenia
Switzerland,21.6,78.4,switzerland
Slovenia,21.07,78.93,slovenia
Oman,20.79,79.21,oman
Hong Kong,20.7,79.3,hong kong
Japan,20.66,79.34,japan
Georgia,20.21,79.79,georgia
United Arab Emirates,15.7,84.3,united arab emirates
Taiwan,15.65,84.35,taiwan
Qatar,11.86,88.14,qatar
