country,crime_index,overall_criminality_score,criminal_markets_score,criminal_actors_score,resilience_score,safety_index,country_norm,lgbt_legal_index
India,44.4,5.75,6.7,4.8,5.42,55.6,india,61.16
China,60.8,6.37,6.53,6.2,5.67,39.2,china,42.38
United States,49.2,5.67,5.83,5.5,7.13,50.8,united states,79.63
Indonesia,45.9,6.85,6.6,7.1,4.25,54.1,indonesia,32.27
Pakistan,42.8,6.03,6.27,5.8,3.96,57.2,pakistan,30.93
Nigeria,65.8,7.28,7.37,7.2,5.79,34.2,nigeria,4.6
Brazil,66.1,6.77,6.93,6.6,4.92,33.9,brazil,95.06
Bangladesh,62.5,5.12,5.03,5.2,4.42,37.5,bangladesh,14.72
Russia,39.7,6.87,6.83,6.9,3.79,60.3,russia,31.55
Ethiopia,51.4,5.68,6.07,5.3,4.75,48.6,ethiopia,6.51
Mexico,54.1,7.57,8.13,7.0,4.21,45.9,mexico,84.63
Japan,22.9,4.28,3.87,4.7,7.38,77.1,japan,58.0
Egypt,47.0,5.05,5.1,5.0,3.83,53.0,egypt,5.12
Philippines,42.6,6.63,6.57,6.7,4.21,57.4,philippines,54.75
Vietnam,44.1,6.55,6.5,6.6,4.79,55.9,vietnam,52.27
Iran,49.8,7.03,7.37,6.7,3.13,50.2,iran,6.05
Turkey,40.2,7.03,6.77,7.3,3.38,59.8,turkey,35.46
Germany,38.0,5.33,5.47,5.2,7.5,62.0,germany,100.0
United Kingdom,46.9,5.75,5.5,6.0,7.54,53.1,united kingdom,81.59
Tanzania,38.3,6.2,6.4,6.0,4.13,61.7,tanzania,8.46
France,54.6,5.82,5.93,5.7,6.96,45.4,france,88.64
South Africa,75.5,7.18,6.87,7.5,5.63,24.5,south africa,83.64
Italy,47.3,6.22,5.73,6.7,6.46,52.7,italy,68.68
Kenya,56.8,7.02,6.93,7.1,5.33,43.2,kenya,20.79
Myanmar,50.0,8.15,7.7,8.6,1.63,50.0,myanmar,11.71
South Korea,25.3,4.43,3.57,5.3,8.08,74.7,south korea,60.0
Sudan,45.5,6.37,5.23,7.5,2.71,54.5,sudan,5.75
Uganda,55.9,6.55,6.4,6.7,3.88,44.1,uganda,0.56
Spain,35.8,5.9,5.7,6.1,6.75,64.2,spain,99.86
Algeria,51.4,4.88,5.17,4.6,4.38,48.6,algeria,3.72
Iraq,46.0,7.13,6.27,8.0,3.21,54.0,iraq,3.0
Argentina,64.0,5.0,4.5,5.5,5.96,36.0,argentina,89.35
Afghanistan,78.4,7.1,7.0,7.2,1.5,21.6,afghanistan,0.51
Poland,29.2,4.48,4.97,4.0,5.88,70.8,poland,61.36
Morocco,47.1,4.8,5.1,4.5,4.63,52.9,morocco,7.91
Angola,65.8,5.58,5.17,6.0,4.5,34.2,angola,48.64
Ukraine,46.8,6.48,6.27,6.7,4.54,53.2,ukraine,57.27
Uzbekistan,31.3,4.95,4.6,5.3,3.88,68.7,uzbekistan,23.21
Malaysia,51.6,6.23,6.67,5.8,5.92,48.4,malaysia,8.21
Mozambique,63.7,6.2,5.9,6.5,3.29,36.3,mozambique,48.21
Ghana,44.1,5.8,6.0,5.6,5.46,55.9,ghana,19.51
Peru,67.5,6.4,6.2,6.6,4.38,32.5,peru,61.0
Saudi Arabia,24.3,6.23,6.57,5.9,4.0,75.7,saudi arabia,2.93
Ivory Coast,57.5,6.02,5.93,6.1,5.13,42.5,ivory coast,49.32
Nepal,37.5,6.57,6.03,7.1,4.0,62.5,nepal,82.58
Venezuela,82.1,6.72,6.03,7.4,1.88,17.9,venezuela,50.0
Australia,46.7,4.0,4.3,3.7,7.38,53.3,australia,87.73
North Korea,50.7,4.82,5.73,3.9,1.79,49.3,north korea,32.11
Syria,69.1,7.07,6.43,7.7,1.92,30.9,syria,10.24
Burkina Faso,53.0,5.92,5.83,6.0,3.46,47.0,burkina faso,29.47
Taiwan,16.1,5.2,5.17,5.5,5.13,83.9,taiwan,72.96
Sri Lanka,42.2,4.92,4.83,5.0,3.42,57.8,sri lanka,24.39
Zambia,47.9,4.73,4.47,5.0,4.54,52.1,zambia,4.88
Kazakhstan,46.4,4.47,4.33,4.6,4.54,53.6,kazakhstan,38.52
Chad,58.7,5.5,5.1,5.9,2.42,41.3,chad,15.0
Chile,25.8,5.18,5.07,5.3,6.17,74.2,chile,100.0
Romania,32.8,4.58,5.27,3.9,6.0,67.2,romania,55.46
Somalia,66.7,6.13,5.27,7.0,1.79,33.3,somalia,1.0
Guatemala,60.1,6.6,6.1,7.1,4.08,39.9,guatemala,46.05
Netherlands,26.2,4.97,5.23,4.7,7.46,73.8,netherlands,90.46
Ecuador,60.7,7.07,6.73,7.4,4.88,39.3,ecuador,87.5
Cambodia,44.8,6.85,6.7,7.0,3.63,55.2,cambodia,45.0
Zimbabwe,60.6,5.47,5.03,5.9,3.13,39.4,zimbabwe,17.5
Rwanda,27.3,3.6,4.0,3.2,5.54,72.7,rwanda,42.27
Burundi,64.2,4.87,4.63,5.1,2.17,35.8,burundi,7.91
Bolivia,62.0,4.95,5.0,4.9,4.83,38.0,bolivia,85.24
Tunisia,44.7,4.45,5.0,3.9,4.5,55.3,tunisia,10.53
Haiti,78.3,5.93,5.77,6.1,2.46,21.7,haiti,45.46
Belgium,48.9,4.43,5.17,3.7,7.04,51.1,belgium,86.43
Jordan,40.7,4.93,4.87,5.0,5.58,59.3,jordan,33.66
United Arab Emirates,14.6,6.37,7.03,5.7,5.13,85.4,united arab emirates,0.47
Cuba,32.2,3.37,3.63,3.1,5.38,67.8,cuba,80.91
Honduras,74.3,7.05,6.0,8.1,4.08,25.7,honduras,55.71
Czech Republic,26.8,4.68,4.87,4.5,6.42,73.2,czech republic,49.32
Sweden,48.1,4.7,4.6,4.8,7.46,51.9,sweden,80.46
Tajikistan,54.4,5.45,4.8,6.1,2.58,45.6,tajikistan,35.12
Papua New Guinea,80.4,5.72,5.33,6.1,3.29,19.6,papua new guinea,21.0
Portugal,30.7,4.88,4.67,5.1,6.5,69.3,portugal,93.18
Azerbaijan,31.7,4.8,4.1,5.5,3.96,68.3,azerbaijan,29.76
Greece,46.5,5.35,4.7,6.0,5.17,53.5,greece,89.55
Hungary,33.8,4.62,4.73,4.5,4.88,66.2,hungary,60.46
Israel,32.2,4.85,5.0,4.7,6.08,67.8,israel,76.36
Austria,27.6,4.13,4.17,4.1,7.5,72.4,austria,90.68
Belarus,51.4,5.87,5.33,6.4,3.25,48.6,belarus,37.73
Switzerland,24.9,4.87,4.63,5.1,7.04,75.1,switzerland,75.91
Hong Kong,21.7,5.2,5.17,5.5,5.13,78.3,hong kong,49.32
Libya,60.4,6.93,6.57,7.3,1.54,39.6,libya,4.29
Kyrgyzstan,53.9,5.32,4.63,6.0,3.83,46.1,kyrgyzstan,33.85
Paraguay,50.6,7.52,6.73,8.3,3.42,49.4,paraguay,41.36
Nicaragua,50.2,5.72,5.23,6.2,2.08,49.8,nicaragua,41.46
Bulgaria,37.5,5.65,5.4,5.9,5.33,62.5,bulgaria,51.82
Serbia,38.5,6.22,5.73,6.7,4.96,61.5,serbia,62.27
El Salvador,62.1,5.92,5.43,6.4,3.21,37.9,el salvador,41.03
Denmark,26.6,4.02,4.33,3.7,8.13,73.4,denmark,92.86
Singapore,23.1,3.47,3.93,3.0,7.83,76.9,singapore,44.29
Lebanon,46.5,7.1,6.3,7.9,3.46,53.5,lebanon,17.56
Finland,26.5,2.98,3.27,2.7,8.63,73.5,finland,85.0
Norway,32.5,3.75,4.1,3.4,7.92,67.5,norway,86.82
Slovakia,31.3,4.72,4.73,4.7,5.29,68.7,slovakia,65.8
Palestine,41.2,5.2,5.17,5.5,5.13,58.8,palestine,49.32
Oman,19.6,4.4,4.9,3.9,5.21,80.4,oman,2.93
Ireland,46.1,5.08,5.17,5.0,7.33,53.9,ireland,85.0
New Zealand,47.1,4.08,3.77,4.4,7.88,52.9,new zealand,87.05
Costa Rica,53.7,5.53,5.37,5.7,5.63,46.3,costa rica,83.33
Kuwait,32.6,5.2,5.7,4.7,5.54,67.4,kuwait,5.64
Panama,44.1,6.98,6.67,7.3,4.67,55.9,panama,44.0
Croatia,26.1,5.15,4.9,5.4,5.92,73.9,croatia,78.64
Mongolia,53.5,4.12,3.83,4.4,5.21,46.5,mongolia,63.42
Uruguay,51.9,3.22,3.33,3.1,7.5,48.1,uruguay,93.18
Puerto Rico,61.7,5.2,5.17,5.5,5.13,38.3,puerto rico,49.32
Bosnia and Herzegovina,42.5,5.85,5.3,6.4,3.88,57.5,bosnia and herzegovina,59.7
Qatar,14.3,5.45,5.7,5.2,5.42,85.7,qatar,4.39
Namibia,64.6,4.3,4.1,4.5,4.54,35.4,namibia,51.43
Armenia,21.6,2.82,2.93,2.7,5.71,78.4,armenia,43.18
Lithuania,33.2,3.9,3.8,4.0,7.29,66.8,lithuania,67.73
Jamaica,67.5,5.8,4.9,6.7,5.42,32.5,jamaica,24.76
Albania,45.4,5.17,4.83,5.5,5.13,54.6,albania,62.27
Botswana,52.6,4.35,4.4,4.3,5.46,47.4,botswana,56.1
Slovenia,24.2,4.37,4.03,4.7,6.04,75.8,slovenia,83.64
Latvia,37.3,3.9,4.5,3.3,7.58,62.7,latvia,61.86
North Macedonia,40.7,5.03,4.87,5.2,5.29,59.3,north macedonia,60.91
Bahrain,24.2,4.95,5.4,4.5,5.42,75.8,bahrain,31.11
Trinidad and Tobago,70.8,5.2,4.8,5.6,5.33,29.2,trinidad and tobago,27.96
Estonia,24.5,4.25,4.2,4.3,7.88,75.5,estonia,80.48
Cyprus,32.6,4.43,3.97,4.9,4.46,67.4,cyprus,78.0
Mauritius,48.1,4.37,4.13,4.6,5.54,51.9,mauritius,53.9
Djibouti,61.1,4.65,4.3,5.0,4.38,38.9,djibouti,37.3
Fiji,56.7,4.15,4.3,4.0,5.42,43.3,fiji,59.76
Guyana,68.8,5.97,5.13,6.8,4.04,31.2,guyana,25.8
Luxembourg,34.0,2.85,2.9,2.8,7.5,66.0,luxembourg,80.8
Montenegro,36.9,5.9,5.2,6.6,4.75,63.1,montenegro,72.27
Malta,40.0,5.0,4.3,5.7,5.13,60.0,malta,100.0
Maldives,55.2,4.27,3.53,5.0,4.08,44.8,maldives,15.79
Brunei,29.2,2.85,3.3,2.4,4.58,70.8,brunei,3.26
Belize,52.3,4.87,4.43,5.3,3.29,47.7,belize,51.22
Bahamas,60.3,3.75,3.6,3.9,5.5,39.7,bahamas,45.12
Iceland,25.0,3.37,2.93,3.8,8.21,75.0,iceland,97.62
Barbados,46.6,3.07,2.43,3.7,6.13,53.4,barbados,42.44
United States Virgin Islands,61.2,5.2,5.17,5.5,5.13,38.8,united states virgin islands,49.32
Monaco,24.7,2.58,1.67,3.5,5.63,75.3,monaco,54.6
